epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2063,0.94438,2.54947,1.10809,0.71693,0.41099,0.50099,0.36643,0.82441,1.26612,0.99396,0.00030027,0.00030027,0.00030027
2,64.8469,0.93787,1.21685,1.07165,0.62508,0.50015,0.53184,0.37549,0.90763,1.31128,1.03575,0.000591326,0.000591326,0.000591326
3,96.1249,0.9618,1.1294,1.09413,0.71848,0.46752,0.54262,0.3893,0.94272,1.20282,1.07128,0.000870382,0.000870382,0.000870382
4,127.208,0.94233,1.05034,1.08788,0.77964,0.49965,0.58613,0.42797,0.89678,1.14278,1.03796,0.000855005,0.000855005,0.000855005
5,158.457,0.92518,1.00738,1.0709,0.79977,0.57065,0.65019,0.46569,0.83137,0.90398,1.00154,0.000837007,0.000837007,0.000837007
6,189.562,0.91015,0.95736,1.06093,0.78524,0.56623,0.64317,0.47131,0.80981,0.84333,1.00158,0.000819009,0.000819009,0.000819009
7,221.605,0.87801,0.88575,1.04402,0.78921,0.58388,0.65594,0.48874,0.80847,0.88425,1.00246,0.000801011,0.000801011,0.000801011
8,254.295,0.84941,0.83738,1.02943,0.82345,0.60887,0.68137,0.51914,0.76449,0.78958,0.98559,0.000783013,0.000783013,0.000783013
9,286.61,0.8357,0.80492,1.01567,0.86271,0.62267,0.71468,0.53373,0.72981,0.71641,0.95362,0.000765014,0.000765014,0.000765014
10,318.647,0.80463,0.77198,1.00935,0.84021,0.61087,0.6994,0.52142,0.76977,0.76184,0.99776,0.000747016,0.000747016,0.000747016
11,350.774,0.78932,0.75009,1.00828,0.83388,0.62727,0.71049,0.54562,0.71948,0.71621,0.94886,0.000729018,0.000729018,0.000729018
12,382.843,0.77741,0.73579,1.00417,0.89693,0.62275,0.71804,0.54009,0.71107,0.66678,0.95898,0.00071102,0.00071102,0.00071102
13,414.943,0.7488,0.70641,0.99215,0.861,0.60428,0.69531,0.53975,0.68861,0.70908,0.9498,0.000693022,0.000693022,0.000693022
14,447.22,0.75034,0.69239,0.98486,0.86105,0.6279,0.72146,0.55074,0.7148,0.69436,0.94304,0.000675023,0.000675023,0.000675023
15,479.355,0.72272,0.6567,0.96703,0.88848,0.6328,0.72469,0.56205,0.68937,0.65852,0.95158,0.000657025,0.000657025,0.000657025
16,511.355,0.72716,0.65297,0.97702,0.86013,0.64074,0.72014,0.56153,0.67481,0.62128,0.94375,0.000639027,0.000639027,0.000639027
17,543.795,0.7114,0.63257,0.96904,0.8655,0.65661,0.72268,0.56843,0.65399,0.6215,0.9225,0.000621029,0.000621029,0.000621029
18,575.85,0.68804,0.61028,0.95906,0.88439,0.66473,0.73905,0.58727,0.65879,0.61706,0.9317,0.000603031,0.000603031,0.000603031
19,607.834,0.68176,0.5946,0.95041,0.85774,0.66851,0.74277,0.58531,0.63647,0.59933,0.91919,0.000585032,0.000585032,0.000585032
20,640.16,0.67785,0.58985,0.9581,0.88656,0.66304,0.74382,0.58814,0.62412,0.6208,0.90965,0.000567034,0.000567034,0.000567034
21,672.711,0.65379,0.57883,0.94238,0.91373,0.65393,0.74894,0.58954,0.63653,0.60116,0.92619,0.000549036,0.000549036,0.000549036
22,705.168,0.6515,0.57375,0.94359,0.91243,0.67582,0.75202,0.59539,0.62244,0.58678,0.91182,0.000531038,0.000531038,0.000531038
23,737.168,0.64676,0.55763,0.94121,0.85664,0.66345,0.74037,0.58687,0.61657,0.56886,0.92017,0.00051304,0.00051304,0.00051304
24,768.809,0.63307,0.54057,0.94063,0.91341,0.65956,0.75448,0.59461,0.60985,0.55506,0.89434,0.000495041,0.000495041,0.000495041
25,800.33,0.63654,0.53526,0.92741,0.88489,0.68382,0.7528,0.59753,0.61944,0.55438,0.90535,0.000477043,0.000477043,0.000477043
26,831.743,0.6238,0.53092,0.9239,0.87089,0.67514,0.75286,0.59764,0.61585,0.58155,0.91146,0.000459045,0.000459045,0.000459045
27,863.412,0.61223,0.51257,0.92394,0.86068,0.6863,0.75605,0.61574,0.56732,0.5576,0.88295,0.000441047,0.000441047,0.000441047
28,895.3,0.61355,0.50945,0.92359,0.88902,0.70098,0.76191,0.61386,0.58211,0.54335,0.89034,0.000423049,0.000423049,0.000423049
29,927.215,0.60403,0.50345,0.92183,0.87643,0.67318,0.7602,0.60997,0.60705,0.54931,0.901,0.00040505,0.00040505,0.00040505
30,958.955,0.58597,0.48434,0.91224,0.89752,0.69804,0.77234,0.62566,0.56952,0.53208,0.88492,0.000387052,0.000387052,0.000387052
